,filename,mAP
215,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_10_18_000.jpg,1.0
216,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_14_38_000.jpg,1.0
217,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_15_31_000.jpg,0.25
218,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_16_50_000.jpg,1.0
219,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_18_41_000.jpg,1.0
220,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_50_55_000.jpg,1.0
221,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_11_00_000.jpg,1.0
222,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_33_15_000.jpg,1.0
223,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_40_28_000.jpg,1.0
224,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_42_28_000.jpg,1.0
225,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_56_06_000.jpg,1.0
226,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_57_17_000.jpg,1.0
227,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_58_19_000.jpg,0.5
228,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_17_58_22_000.jpg,1.0
229,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_06_49_000.jpg,1.0
230,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_11_31_000.jpg,1.0
231,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_15_05_000.jpg,1.0
232,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_15_19_000.jpg,1.0
233,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_15_22_000.jpg,1.0
234,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_25_52_000.jpg,0.5
235,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_30_54_000.jpg,1.0
236,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_34_26_000.jpg,1.0
237,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_38_43_000.jpg,1.0
238,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_45_40_000.jpg,1.0
239,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_18_49_18_000.jpg,1.0
240,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_12_40_17_000.jpg,1.0
241,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_14_50_14_000.jpg,1.0
242,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_14_57_58_000.jpg,1.0
243,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_15_04_54_000.jpg,1.0
244,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_15_23_47_000.jpg,0.5
245,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_15_44_33_000.jpg,0.0
246,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_15_53_55_000.jpg,1.0
247,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_15_53_56_000.jpg,1.0
248,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_16_03_39_000.jpg,1.0
249,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_16_33_16_000.jpg,0.5
250,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_16_33_18_000.jpg,1.0
251,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_16_39_32_000.jpg,0.5
252,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_16_39_33_000.jpg,0.5
253,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_17_03_16_000.jpg,1.0
254,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_17_12_39_000.jpg,1.0
255,F:\Datasets\TFMTestRemake\OriginalInput\ParqueSur_frame_17_34_00_000.jpg,1.0
